Date						Sun's altitude
2020-01-01 06:48:00.000		-0d03m58.6134s
2020-01-01 06:49:20.000		0d06m45.2382s
2020-01-01 15:00:00.000		0d00m43.4332s
2020-02-01 06:25:20.000		-0d07m01.7286s
2020-02-01 06:26:40.000		0d04m52.5109s
2020-02-01 15:42:40.000		0d05m23.599s
2020-02-01 15:44:00.000		-0d06m30.1882s
2020-03-03 05:32:00.000		-0d08m56.344s
2020-03-03 05:33:20.000		0d04m09.8176s
2020-03-03 16:33:20.000		0d00m37.6427s
2020-04-03 04:29:20.000		-0d00m36.9565s
2020-04-03 17:20:00.000		-0d02m58.2471s
2020-05-04 03:32:00.000		-0d00m02.988s
2020-05-04 18:04:00.000		0d02m07.0895s
2020-05-04 18:05:20.000		-0d09m54.6826s
2020-06-04 02:57:20.000		-0d08m03.3739s
2020-06-04 02:58:40.000		0d02m48.3346s
2020-06-04 18:40:00.000		0d06m14.4851s
2020-06-04 18:41:20.000		-0d04m36.2574s
2020-07-05 03:02:40.000		-0d02m25.7806s
2020-07-05 03:04:00.000		0d08m22.6653s
2020-07-05 18:46:40.000		0d09m31.2824s
2020-07-05 18:48:00.000		-0d01m18.7973s
2020-08-05 03:37:20.000		0d01m26.3781s
2020-08-05 18:14:40.000		0d09m15.1929s
2020-08-05 18:16:00.000		-0d02m44.7818s
2020-09-05 04:18:40.000		-0d07m08.7482s
2020-09-05 04:20:00.000		0d05m55.4101s
2020-09-05 17:18:40.000		-0d00m51.1803s
2020-10-06 05:02:40.000		-0d02m12.1615s
2020-10-06 16:13:20.000		0d07m15.5554s
2020-10-06 16:14:40.000		-0d05m54.4266s
2020-11-06 05:50:40.000		0d01m52.5117s
2020-11-06 15:17:20.000		0d06m09.4595s
2020-11-06 15:18:40.000		-0d05m54.3328s
2020-12-07 06:33:20.000		-0d09m47.2153s
2020-12-07 06:34:40.000		0d01m02.4645s
2020-12-07 14:49:20.000		0d07m37.5853s
2020-12-07 14:50:40.000		-0d03m10.9403s
